precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DIMA IONUŢ-LUCIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","SFETCU ADRIAN-NICOLAE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","SFETCU FLORIN-PARTIDUL NAȚIONAL LIBERAL-voturi","SFETCU NAE-UNIUNEA SALVAȚI ROMÂNIA-voturi","PETCU AUREL-ANDREI-PARTIDUL S.O.S. ROMÂNIA-voturi"
30,OLT,"ŞCOALA GIMNAZIALĂ COTEANA",163,COTEANA,126380,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:07:38",869,816,0,26,27,639,591,0,26,22,620,19,888,249,508,2,105,2,3
30,OLT,"ŞCOALA GIMNAZIALĂ COTEANA",162,COTEANA,126380,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:15:57",942,880,0,31,31,666,605,0,31,30,652,14,963,297,522,7,109,9,5
