precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
27,MEHEDINŢI,"ASOCIAȚIA DE PROPRIETARI NR.90",5,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:54:39",875,868,0,6,1,402,395,0,6,1,373,29,989,587,179,59,86,7,32,10
27,MEHEDINŢI,"ASOCIATIA LIGA ”SOLIDARITATEA” A PENSIONARILOR",20,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:42:46",1106,1094,1,11,0,445,434,0,11,0,425,20,1189,744,218,61,95,4,35,12
27,MEHEDINŢI,"COLEGIUL NAȚIONAL ECONOMIC ”THEODOR COSTESCU”",16,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:20:40",978,964,0,14,0,379,365,0,14,0,358,21,1066,687,177,51,79,10,29,12
27,MEHEDINŢI,"COLEGIUL NAȚIONAL ”GHEORGHE ȚIȚEICA”",14,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:24:16",1100,1092,0,8,0,419,411,0,8,0,397,22,1188,769,173,77,87,11,37,12
27,MEHEDINŢI,"COLEGIUL NAȚIONAL ”GHEORGHE ȚIȚEICA”",15,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:16:10",1031,1020,1,9,1,392,382,0,9,1,377,15,1251,859,166,56,85,11,48,11
27,MEHEDINŢI,"COLEGIUL NAȚIONAL ”TRAIAN”",2,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:33:14",1294,1273,5,7,9,521,506,0,6,9,504,17,1432,911,230,82,103,20,48,21
27,MEHEDINŢI,"COLEGIUL TEHNIC ”DECEBAL”",48,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:39:51",1306,1293,0,10,3,516,503,0,10,3,489,27,1454,938,203,109,98,13,46,20
27,MEHEDINŢI,"COLEGIUL TEHNIC ”DOMNUL TUDOR”",28,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:45:35",1067,1058,1,5,3,429,421,0,5,3,419,10,1126,697,228,75,63,33,15,5
27,MEHEDINŢI,"COLEGIUL TEHNIC ”DOMNUL TUDOR”",27,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:34:09",832,825,1,4,2,330,324,0,4,2,313,17,910,580,137,70,53,6,33,14
27,MEHEDINŢI,"COLEGIUL TEHNIC ”DOMNUL TUDOR”",30,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:31:36",1209,1199,0,10,0,438,428,0,10,0,422,16,1361,923,209,77,87,9,25,15
27,MEHEDINŢI,"COLEGIUL TEHNIC ”DOMNUL TUDOR”",29,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:03:04",1217,1201,0,9,7,481,465,0,9,7,468,13,1367,886,205,71,112,14,52,14
27,MEHEDINŢI,"COLEGIUL TEHNIC ”LORIN SĂLĂGEAN” (LICEUL INDUSTRIAL NR.4)",32,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:03:49",438,424,0,11,3,420,406,0,11,3,394,12,1178,772,205,69,66,3,44,7
27,MEHEDINŢI,"CONSILIUL LOCAL DROBETA-TURNU SEVERIN - PALATUL CULTURII ”TEODOR COSTESCU”",1,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:29:14",1287,1270,0,11,6,545,528,0,11,6,511,34,1410,865,222,101,106,9,59,14
27,MEHEDINŢI,"DIRECȚIA GENERALĂ DE ASISTENȚĂ ȘI PROTECȚIA COPILULUI MEHEDINȚI",24,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:02:29",1578,1560,2,12,4,601,585,0,12,4,562,23,1764,1163,295,109,100,8,36,14
27,MEHEDINŢI,"DIRECȚIA GENERALĂ DE ASISTENȚĂ ȘI PROTECȚIA COPILULUI MEHEDINȚI",25,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:39:13",1359,1344,0,9,6,442,427,0,9,6,427,15,1483,1041,205,76,104,8,31,3
27,MEHEDINŢI,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR.15",62,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:54:47",1277,1270,0,7,0,537,530,0,7,0,499,28,1422,888,276,74,94,9,23,23
27,MEHEDINŢI,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR.15",63,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:47:25",1607,1602,1,3,1,488,484,0,3,1,467,21,523,35,204,107,99,5,31,21
27,MEHEDINŢI,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR.15",61,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:39:13",1026,1006,4,13,3,467,447,4,13,3,445,22,1116,649,238,69,96,12,24,6
27,MEHEDINŢI,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR.20",26,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:53:26",1702,1686,2,8,6,684,670,0,8,6,664,20,1763,1079,334,131,132,16,29,22
27,MEHEDINŢI,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 21",44,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:10:27",1194,1186,0,8,0,418,410,0,8,0,403,15,1348,930,173,85,102,12,24,7
27,MEHEDINŢI,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 21",43,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:55:19",941,933,1,6,1,322,315,0,6,1,310,12,1066,744,137,45,82,8,29,9
