precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","FORȚA DREPTEI-voturi","BĂRBULESCU DECEBAL-REGINALD-CONSTANTIN-voturi"
3,ARGEŞ,"CĂMIN CULTURAL COTMEANA",319,COTMEANA,15983,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:33:00",753,750,0,3,0,474,471,0,3,0,453,21,800,326,88,35,216,5,34,75
3,ARGEŞ,"CENTRUL INGRIJIRE COPII",321,COTMEANA,15983,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:27:57",420,417,0,2,1,263,260,0,2,1,257,6,471,208,13,122,87,14,3,18
3,ARGEŞ,"ŞCOALA LINTEŞTI",320,COTMEANA,15983,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:43:47",316,305,0,11,0,209,198,0,11,0,205,4,350,141,21,14,128,20,0,22
