precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CHIRILAŞ TIBERIU-NICOLAE-PARTIDUL SOCIAL DEMOCRAT-voturi","IONESCU ALEXANDRU-CONSTANTIN-PARTIDUL NAȚIONAL LIBERAL-voturi"
8,BRAŞOV,"CĂMIN CULTURAL ACRIȘ",452,"VAMA BUZĂULUI",42183,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:50:23",1046,1044,0,2,0,474,472,0,2,0,415,59,1100,626,361,54
8,BRAŞOV,"CĂMIN CULTURAL VAMA BUZĂULUI",451,"VAMA BUZĂULUI",42183,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:32:37",1350,1338,2,7,3,674,663,1,7,3,632,42,1500,826,532,100
8,BRAŞOV,"ŞCOALA PRIMARĂ BUZĂIEL",453,"VAMA BUZĂULUI",42183,2,PART,PRCNCT,P,P_SV,"2024-06-10 04:25:33",488,480,0,7,1,205,197,0,7,1,194,11,554,349,165,29
