precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"IVAN IONEL-FLORIN-PARTIDUL NAȚIONAL LIBERAL-voturi","GHENA DAN-PARTIDUL SOCIAL DEMOCRAT-voturi"
36,TELEORMAN,"GRĂDINIŢA DE COPII IZVOARELE",188,IZVOARELE,153106,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:00:36",1062,1029,0,5,28,664,631,0,5,28,654,10,1126,462,107,547
36,TELEORMAN,"GRĂDINIŢA DE COPII IZVOARELE",189,IZVOARELE,153106,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:22:28",866,845,0,7,14,525,504,0,7,14,523,2,930,405,135,388
