precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL VERDE-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL PRO ROMÂNIA-voturi"
20,GORJ,"PRIMARIA GLOGOVA",220,GLOGOVA,80365,6,PART,PRCNCT,CL,CL_SV,"2024-06-13 21:42:14",510,494,0,7,9,392,376,0,7,9,372,13,600,208,28,177,60,18,89
20,GORJ,"ŞCOALA GIMNAZIALĂ PROF. NICOLAE CARANDA",221,GLOGOVA,80365,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:45:03",574,540,0,14,20,401,367,0,14,20,394,7,600,199,66,230,54,21,23
20,GORJ,"ŞCOALA PRIMARĂ OLTEANU",222,GLOGOVA,80365,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:07:14",485,459,2,13,11,347,322,1,13,11,337,10,498,151,18,165,14,75,65
