precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"POGAN VASILE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ŞTEFLEA NICOLAE-PARTIDUL SOCIAL DEMOCRAT-voturi","JINAR CONSTANTIN-PARTIDUL NAȚIONAL LIBERAL-voturi","DEOANCĂ DUMITRU-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
1,ALBA,"CLĂDIRE ADMINISTRATIVĂ (FOSTĂ ŞCOALA GENERALĂ DOBRA)",415,ŞUGAG,8014,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:26:04",435,428,0,6,1,271,264,0,6,1,269,2,479,208,41,35,135,58
1,ALBA,"PRIMĂRIA COMUNEI ŞUGAG",414,ŞUGAG,8014,3,PART,PRCNCT,P,P_SV,"2024-06-10 14:00:18",1390,1372,4,9,5,922,908,0,9,5,904,18,1500,578,124,135,497,148
1,ALBA,"ŞCOALA PRIMARĂ MĂRTINIE",416,ŞUGAG,8014,3,PART,PRCNCT,P,P_SV,"2024-06-10 11:04:34",462,453,0,7,2,346,337,0,7,2,338,8,504,158,49,83,149,57
