precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CĂLIN MIRCEA-CĂTĂLIN-UNIUNEA SALVAȚI ROMÂNIA-voturi","SIMON HARDI-GÓU-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","MUREŞAN IOAN-PARTIDUL NAȚIONAL LIBERAL-voturi","KANYA IULIU-ANDREI-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","TOCACIU ANDREI-PARTIDUL SOCIAL DEMOCRAT-voturi","MUREŞAN MARIUS-PARTIDUL VERDE-voturi","PANEA NICOLAE-NORBERT-ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-voturi","ŞTEF DUMITRU-PARTIDUL MIȘCAREA POPULARĂ-voturi"
32,"SATU MARE","PRIMARIA BOTIZ",154,BOTIZ,137185,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:08:52",1481,1475,2,0,4,636,632,0,0,4,623,13,1604,968,56,15,310,104,88,13,25,12
32,"SATU MARE","SCOALA GIMNAZIALA CU CLASELE I-IV OSVAREU",155,BOTIZ,137185,2,PART,PRCNCT,P,P_SV,"2024-06-10 06:13:18",1828,1804,2,6,16,832,810,0,6,16,807,25,2037,1205,51,21,313,140,193,47,33,9
