precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MOLDOVAN SILVIU-ALIN-UNIUNEA SALVAȚI ROMÂNIA-voturi","PRĂDAN GRIGORE-PARTIDUL SOCIAL DEMOCRAT-voturi","PETRA CLAUDIU-FLORIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","FEIER LUCIAN-LAUREAN-PARTIDUL NAȚIONAL LIBERAL-voturi","TIŞE LUCIA-FLORINA-FORȚA DREPTEI-voturi","RUS ALIN-PARTIDUL ROMÂNIA MARE-voturi"
28,MUREŞ,"CĂMIN CULTURAL DELENI",430,"IDECIU DE JOS",117783,2,PART,PRCNCT,P,P_SV,"2024-06-10 04:38:40",211,194,0,9,8,161,144,0,9,8,156,5,210,49,5,4,34,100,12,1
28,MUREŞ,"CĂMIN CULTURAL IDECIU DE SUS",431,"IDECIU DE JOS",117783,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:16:03",747,721,1,9,16,393,368,0,9,16,386,7,766,373,12,17,26,323,3,5
28,MUREŞ,"ȘCOALA GIMNAZIALĂ IDECIU DE JOS",429,"IDECIU DE JOS",117783,2,PART,PRCNCT,P,P_SV,"2024-06-10 06:11:21",882,795,4,36,47,622,536,3,36,47,611,11,971,349,46,36,65,449,0,15
