precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
16,DÂMBOVIŢA,"COLEGIUL NAȚIONAL ” VLADIMIR STREINU”",95,"ORAŞ GĂEŞTI",65681,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 13:39:02",1482,1471,1,8,2,906,895,1,8,2,893,13,1620,714,392,385,66,50
16,DÂMBOVIŢA,"LICEUL TEHNOLOGIC ” DOCTOR CONSTANTIN ANGELESCU”",94,"ORAŞ GĂEŞTI",65681,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 16:42:48",1174,1162,0,12,0,739,727,0,12,0,709,30,1280,541,346,283,55,25
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ NR.1",92,"ORAŞ GĂEŞTI",65681,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:38:56",902,896,0,4,2,530,524,0,4,2,511,15,990,449,240,204,39,28
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ NR.1",93,"ORAŞ GĂEŞTI",65681,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:30:07",864,855,2,4,3,513,506,0,4,3,487,19,940,434,242,193,37,15
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”RADU CEL MARE”",100,"ORAŞ GĂEŞTI",65681,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:31:45",591,582,1,8,0,347,339,0,8,0,338,9,640,293,179,115,18,26
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”RADU CEL MARE”",101,"ORAŞ GĂEŞTI",65681,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:52:04",1152,1139,0,13,0,733,720,0,13,0,717,16,1240,507,299,337,44,37
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”RADU CEL MARE”",102,"ORAŞ GĂEŞTI",65681,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 15:52:12",1556,1543,0,10,3,967,954,0,10,3,939,25,1710,746,407,439,58,35
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”ȘERBAN CIOCULESCU”",99,"ORAŞ GĂEŞTI",65681,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:55:15",1230,1215,0,11,4,692,677,0,11,4,674,18,1344,652,335,258,34,47
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”ȘERBAN CIOCULESCU”",97,"ORAŞ GĂEŞTI",65681,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:01:30",790,780,0,8,2,439,429,0,8,2,427,12,860,421,189,189,31,18
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”ȘERBAN CIOCULESCU”",98,"ORAŞ GĂEŞTI",65681,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:47:04",1096,1087,2,6,1,552,545,0,6,1,547,5,1200,648,265,217,40,25
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”ȘERBAN CIOCULESCU”",96,"ORAŞ GĂEŞTI",65681,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:24:39",1249,1236,0,11,2,705,692,0,11,2,694,11,1370,665,334,282,37,41
