precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","BENCZE ARNOLD-voturi"
21,HARGHITA,"SEDIUL PRIMĂRIEI",162,LUETA,84629,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:54:17",1451,1447,1,2,1,619,616,0,2,1,594,25,1600,981,549,45
21,HARGHITA,"SEDIUL PRIMĂRIEI LUETA",163,LUETA,84629,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:53:48",1564,1562,0,0,2,727,725,0,0,2,711,16,1700,973,653,58
