precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL OAMENILOR TINERI-voturi","PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","NAPĂU-STOICA RADU-CĂLIN-voturi"
22,HUNEDOARA,"CINEMATOGRAF CULTURAL LUPENI",117,"MUNICIPIUL LUPENI",87059,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:04:06",1239,1230,1,8,0,500,492,0,8,0,484,16,1400,900,304,47,46,28,12,3,9,35
22,HUNEDOARA,"GRĂDINIŢA CU PROGRAM NORMAL NR. 1 LUPENI",118,"MUNICIPIUL LUPENI",87059,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:59:11",1471,1464,0,7,0,502,495,0,7,0,474,28,1600,1098,346,42,38,14,11,0,3,20
22,HUNEDOARA,"GRĂDINIŢA CU PROGRAM NORMAL NR. 2 LUPENI",125,"MUNICIPIUL LUPENI",87059,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:17:59",902,897,0,5,0,297,292,0,5,0,286,11,1000,703,182,41,13,32,5,10,2,1
22,HUNEDOARA,"GRĂDINIŢA CU PROGRAM NORMAL NR. 2 LUPENI",124,"MUNICIPIUL LUPENI",87059,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:44:18",921,917,0,4,0,355,351,0,4,0,346,9,1000,645,205,38,38,13,13,1,11,27
22,HUNEDOARA,"GRĂDINIŢA CU PROGRAM NORMAL NR. 2 LUPENI",126,"MUNICIPIUL LUPENI",87059,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:38:23",1180,1175,0,5,0,425,420,0,5,0,411,14,1200,775,254,34,38,15,23,0,14,33
22,HUNEDOARA,"GRĂDINIȚA CU PROGRAM NORMAL ŞCOALA GIMNAZIALĂ NR. 1",113,"MUNICIPIUL LUPENI",87059,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:56:43",776,769,0,7,0,282,275,0,7,0,268,14,900,618,184,26,32,12,2,3,3,6
22,HUNEDOARA,"GRĂDINIȚA CU PROGRAM SĂPTĂMÂNAL LUMEA COPIILOR",119,"MUNICIPIUL LUPENI",87059,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:24:53",1513,1508,0,5,0,615,610,0,5,0,592,23,1600,985,374,56,40,37,28,4,20,33
22,HUNEDOARA,"LICEUL TEORETIC ”MIRCEA ELIADE” LUPENI",120,"MUNICIPIUL LUPENI",87059,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:55:38",483,465,0,17,1,483,465,0,17,1,472,11,1500,918,332,48,50,11,8,1,9,13
22,HUNEDOARA,"LICEUL TEORETIC ”MIRCEA ELIADE” LUPENI",121,"MUNICIPIUL LUPENI",87059,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:04:29",856,847,1,8,0,268,260,0,8,0,261,7,1000,732,177,24,41,4,3,2,5,5
22,HUNEDOARA,"PALATUL CULTURAL LUPENI",110,"MUNICIPIUL LUPENI",87059,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:37:13",1518,1511,0,7,0,708,701,0,7,0,687,21,1700,992,490,73,77,14,4,1,9,19
22,HUNEDOARA,"ŞCOALA GIMNAZIALĂ NR. 1",112,"MUNICIPIUL LUPENI",87059,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:46:44",1002,995,0,7,0,377,370,0,7,0,364,13,1100,723,237,15,37,38,8,2,14,13
22,HUNEDOARA,"ŞCOALA GIMNAZIALĂ NR. 1",111,"MUNICIPIUL LUPENI",87059,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:45:04",1257,1235,2,2,18,509,489,0,2,18,493,16,1300,791,338,54,46,22,6,1,13,13
22,HUNEDOARA,"ŞCOALA GIMNAZIALĂ NR. 2 LUPENI",123,"MUNICIPIUL LUPENI",87059,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:28:24",990,983,2,4,1,427,422,0,4,1,407,15,1100,678,249,48,31,17,10,1,17,34
22,HUNEDOARA,"ŞCOALA GIMNAZIALĂ NR. 2 LUPENI",122,"MUNICIPIUL LUPENI",87059,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:53:39",1191,1186,0,5,0,459,454,0,5,0,444,15,1300,841,270,53,57,14,13,2,9,26
22,HUNEDOARA,"ŞCOALA GIMNAZIALĂ NR. 3",115,"MUNICIPIUL LUPENI",87059,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:57:05",928,920,0,6,2,409,401,0,6,2,398,11,1000,591,254,29,29,30,9,8,17,22
22,HUNEDOARA,"ŞCOALA GIMNAZIALĂ NR. 3",116,"MUNICIPIUL LUPENI",87059,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:46:39",907,901,1,5,0,345,340,0,5,0,342,3,1000,655,208,36,37,26,7,3,6,19
22,HUNEDOARA,"SC UNIVERSAL EDIL SA",127,"MUNICIPIUL LUPENI",87059,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:45:32",817,806,0,11,0,311,300,0,11,0,303,8,900,589,185,36,32,5,8,0,6,31
22,HUNEDOARA,"SPCLEP LUPENI",114,"MUNICIPIUL LUPENI",87059,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:56:40",1533,1524,1,8,0,606,598,0,8,0,580,26,1833,1227,333,65,40,32,14,13,32,51
