precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL PRO ROMÂNIA-voturi","FORȚA DREPTEI-voturi"
40,VÂLCEA,"CAMIN CULTURAL",314,"NICOLAE BĂLCESCU",171628,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:26:02",680,660,1,12,7,416,398,0,12,6,399,17,718,300,37,69,11,269,6,7
40,VÂLCEA,"ŞCOALA CU CLASELE I-IV CORBI",311,"NICOLAE BĂLCESCU",171628,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:53:25",323,305,1,13,4,208,191,0,13,4,192,16,340,132,12,29,15,135,1,0
40,VÂLCEA,"ŞCOALA CU CLASELE I-IV GÂLTOFANI",312,"NICOLAE BĂLCESCU",171628,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:30:37",130,123,0,5,2,91,84,0,5,2,87,4,140,49,2,19,19,41,6,0
40,VÂLCEA,"ŞCOALA CU CLASELE I-IV ŞERBĂNEASA",313,"NICOLAE BĂLCESCU",171628,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:25:15",707,699,1,6,1,433,426,0,6,1,422,11,770,337,62,81,33,232,12,2
40,VÂLCEA,"ŞCOALA CU CLASELE I-VIII ROTĂRĂŞTI",310,"NICOLAE BĂLCESCU",171628,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:10:45",873,837,2,13,21,568,533,1,13,21,548,20,960,392,36,109,58,291,3,51
