precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ABRUDAN RADU-FLORIN-PARTIDUL NAȚIONAL LIBERAL-voturi"
13,CLUJ,"SCOALA CLASELE I - IV CALEA LATA",413,CIUCEA,57163,3,PART,PRCNCT,P,P_SV,"2024-06-10 05:35:28",199,186,0,4,9,102,89,0,4,9,98,4,208,106,98
13,CLUJ,"SCOALA CLS.I-IV VANATORI",414,CIUCEA,57163,2,PART,PRCNCT,P,P_SV,"2024-06-10 07:11:16",355,332,0,5,18,255,232,0,5,18,233,22,389,134,233
13,CLUJ,"SCOALA CU CL. I - VIII, CIUCEA",412,CIUCEA,57163,2,PART,PRCNCT,P,P_SV,"2024-06-10 04:10:34",744,704,0,5,35,475,435,0,5,35,437,38,759,284,437
