precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BANCIU MARIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","MARINESCU DORU-PARTIDUL NAȚIONAL LIBERAL-voturi","BARBU IONUŢ-OCTAVIAN-PARTIDUL SOCIAL DEMOCRAT-voturi"
17,DOLJ,"CĂMINUL CULTURAL CERĂT",299,CERĂT,71698,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:43:50",1992,1974,0,8,10,1004,986,0,8,10,916,88,2153,1149,98,222,596
17,DOLJ,"ȘCOALA GIMNAZIALĂ CERĂT - GRĂDINIȚA CU PROGRAM NORMAL NR.2 CERĂT (PREȘCOLARI)",300,CERĂT,71698,2,PART,PRCNCT,P,P_SV,"2024-06-10 06:54:58",1248,1236,1,9,2,413,402,0,9,2,377,36,1400,987,20,222,135
