precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"HURMUZ DANIEL-IONEL-PARTIDUL NAȚIONAL LIBERAL-voturi","EPURE DANIEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","RÎMBU LAURENŢIU-CONSTANTIN-PARTIDUL SOCIAL DEMOCRAT-voturi","AŞTEFĂNOAIE LIVIU-CRISTIAN-PARTIDUL ROMÂNIA MARE-voturi","IOSUB ALEXANDRU-CĂTĂLIN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
7,BOTOŞANI,"CĂMINUL CULTURAL VIIŞOARA",412,VIIŞOARA,39658,1,PROV,PRCNCT,P,P_SV,"2024-06-10 08:36:38",646,609,1,8,28,421,384,1,8,28,411,10,688,267,40,84,205,1,81
7,BOTOŞANI,"ŞCOLA CU CLASELE I-IV CUZA VODĂ",413,VIIŞOARA,39658,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:59:29",403,385,0,4,14,252,234,0,4,14,247,5,422,170,3,74,42,0,128
7,BOTOŞANI,"ŞCOLA CU CLASELE I-IV VIIŞOARA MICĂ",414,VIIŞOARA,39658,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:00:02",363,354,0,4,5,202,193,0,4,5,194,7,395,194,21,60,91,3,19
