precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"COMAN CLAUDIU-FLORIN-PARTIDUL NAȚIONAL LIBERAL-voturi","GHERMAN LIVIU-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","DĂNILĂ ANDREI-GABRIEL-PARTIDUL VERDE-voturi","DOGAN CIPRIAN-OVIDIU-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
37,TIMIŞ,"CĂMINUL CULTURAL CARANI",554,SÂNANDREI,158653,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:50:02",1726,1704,2,13,7,813,793,0,13,7,778,35,1845,1032,452,175,62,89
37,TIMIŞ,"CĂMINUL CULTURAL SÂNANDREI",551,SÂNANDREI,158653,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:10:22",1551,1535,3,12,1,866,853,0,12,1,846,20,1700,834,386,201,25,234
37,TIMIŞ,"ŞCOALA GIMNAZIALĂ SÂNANDREI",552,SÂNANDREI,158653,2,PART,PRCNCT,P,P_SV,"2024-06-10 07:49:30",1422,1421,0,1,0,630,629,0,1,0,610,20,1600,970,323,137,21,129
37,TIMIŞ,"ȘCOALA GIMNAZIALĂ SÂNANDREI",553,SÂNANDREI,158653,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:25:25",1321,1315,2,4,0,710,706,0,4,0,697,13,1400,690,310,177,27,183
37,TIMIŞ,"ŞCOALA PRIMARĂ COVACI",555,SÂNANDREI,158653,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:43:41",882,868,2,8,4,472,460,0,8,4,454,18,1000,528,249,149,22,34
