precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"HAULER HELMUT-ISTVÁN-FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA-voturi","MEGYERI TAMÁS-RÓBERT-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi"
32,"SATU MARE","PRIMĂRIA COMUNEI CĂPLENI",164,CĂPLENI,136553,2,PART,PRCNCT,P,P_SV,"2024-06-10 03:32:57",1204,1178,3,1,22,690,667,0,1,22,676,14,1286,596,87,589
32,"SATU MARE","ŞCOALA GIMNAZIALĂ ” FÉNYI ISTVÁN ” CĂPLENI",165,CĂPLENI,136553,2,PART,PRCNCT,P,P_SV,"2024-06-10 04:07:39",1485,1444,2,3,36,838,799,0,3,36,830,8,1600,762,114,716
