precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BĂRGĂOANU IOAN-CRISTIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","MILOŞAN VIOREL-DĂNUŢ-PARTIDUL NAȚIONAL LIBERAL-voturi","AVRAM NELU-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
8,BRAŞOV,"CĂMINUL CULTURAL BERIVOI",407,RECEA,41738,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:34:57",506,494,0,9,3,325,313,0,9,3,318,7,561,236,237,66,15
8,BRAŞOV,"CĂMINUL CULTURAL RECEA",406,RECEA,41738,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:41:36",1631,1600,2,11,18,933,903,1,11,18,888,45,1800,867,325,378,185
8,BRAŞOV,"CĂMINUL CULTURAL SĂVĂSTRENI",408,RECEA,41738,1,PROV,PRCNCT,P,P_SV,"2024-06-10 10:44:17",594,573,1,13,7,374,354,0,13,7,357,17,600,226,164,124,69
