precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BORA VASILE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","LOMBREA VASILE-PARTIDUL NAȚIONAL LIBERAL-voturi","CÂRJA GHEORGHE-PARTIDUL SOCIAL DEMOCRAT-voturi"
1,ALBA,"ŞCOALA GIMNAZIALĂ ”SIMION PANTEA” SĂLCIUA",368,SĂLCIUA,6976,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:36:06",539,501,1,12,25,368,331,0,12,25,364,4,600,232,67,257,40
1,ALBA,"ŞCOALA PRIMARĂ SĂLCIUA DE JOS",367,SĂLCIUA,6976,3,PART,PRCNCT,P,P_SV,"2024-06-10 09:48:00",710,668,2,7,33,436,396,0,7,33,427,9,717,281,45,242,140
