precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"HANGANU VIOREL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","CHIRIAC ANCA-MĂDĂLINA-PARTIDUL NAȚIONAL LIBERAL-voturi","ROTARIU VASILE-PARTIDUL SOCIAL DEMOCRAT-voturi","DÂRLEA MIRCEA-PARTIDUL S.O.S. ROMÂNIA-voturi","BOTEZATU VASILE-voturi"
4,BACĂU,"SCOALA GENERALA CETATUIA",591,STRUGARI,25629,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:16:33",216,214,0,0,2,127,125,0,0,2,120,7,200,73,77,0,40,3,0
4,BACĂU,"ŞCOALA GENERALĂ SATUL PETRICICA",592,STRUGARI,25629,2,PART,PRCNCT,P,P_SV,"2024-06-10 06:41:05",567,556,0,0,11,299,288,0,0,11,286,13,600,301,79,25,140,1,41
4,BACĂU,"ŞCOALA GENERALĂ SATUL RĂCHITIŞ",593,STRUGARI,25629,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:33:00",332,325,0,2,5,216,209,0,2,5,200,16,400,184,54,6,123,9,8
4,BACĂU,"ŞCOALA GENERALĂ SATUL STRUGARI",590,STRUGARI,25629,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:58:42",780,767,1,6,6,463,450,1,6,6,442,21,796,333,155,13,261,10,3
