precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"OLOI CRISTINA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","IŞTOC VALENTIN-MIHAI-PARTIDUL NAȚIONAL LIBERAL-voturi","CHEŢA LUCIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","MATEI ION-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ŞOFA DANIELA-PARTIDUL S.O.S. ROMÂNIA-voturi","LUPU VASILE-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","BUSUIOC VASILICĂ-ALEXANDRU-PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","BUCUR CIPRIAN-PARTIDUL ECOLOGIST ROMÂN-voturi"
4,BACĂU,"BAZA SPORTIVA ”LIA MANOLIU” RĂCĂCIUNI",537,RĂCĂCIUNI,24766,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:18:41",1575,1563,0,9,3,693,681,0,9,3,664,29,1700,1007,22,103,355,2,8,105,62,7
4,BACĂU,"GRĂDINIŢA NR.2 SATUL RĂCĂCIUNI",538,RĂCĂCIUNI,24766,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:38:22",1353,1331,2,14,6,572,552,0,14,6,552,20,1500,928,32,65,318,1,7,67,60,2
4,BACĂU,"ŞCOALA CU CLASELE I-IV SATUL CIUCANI",539,RĂCĂCIUNI,24766,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:54:45",461,455,0,6,0,221,215,0,6,0,205,16,500,279,2,44,51,17,1,13,1,76
4,BACĂU,"ŞCOALA CU CLASELE I-VIII SATUL FUNDU RĂCĂCIUNI",540,RĂCĂCIUNI,24766,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:18:24",1480,1463,5,9,3,649,636,1,9,3,593,56,1600,951,15,262,248,13,7,39,0,9
4,BACĂU,"ŞCOALA CU CLASELE I-VIII SATUL GHEORGHE DOJA",542,RĂCĂCIUNI,24766,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:59:39",902,895,0,4,3,377,370,0,4,3,350,27,1000,623,40,82,164,3,5,24,8,24
4,BACĂU,"ŞCOALA CU CLASELE I-VIII SATUL GÎŞTENI",541,RĂCĂCIUNI,24766,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:37:38",829,789,0,35,5,440,400,0,35,5,411,29,900,460,23,81,249,5,2,34,8,9
