precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi"
26,MARAMUREŞ,"GRĂDINIȚA CU PROGRAM NORMAL ,3 GRUPE",333,LĂPUŞ,108222,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:44:30",1517,1465,4,7,41,941,891,2,7,41,919,22,1700,759,112,713,63,31
26,MARAMUREŞ,PRIMĂRIA,332,LĂPUŞ,108222,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:04:14",1379,1351,1,7,20,847,820,0,7,20,822,25,1500,653,96,650,45,31
