precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"GRIGORIE PETRE-PARTIDUL SOCIAL DEMOCRAT-voturi","CURUŢU DAN-UNIUNEA SALVAȚI ROMÂNIA-voturi","ŞOŞOI ŞTEFAN-PETRE-PARTIDUL NAȚIONAL LIBERAL-voturi","POP DANIEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","TUDORAŞCU IONEL-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","COPACI ALIN-CRISTINEL-PARTIDUL S.O.S. ROMÂNIA-voturi"
20,GORJ,"ȘCOALA GIMNAZIALĂ” NICOLAE TOMOVICI PLOPȘOR” PLOPȘORU",265,PLOPŞORU,81264,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:30:49",1885,1860,0,10,15,1248,1223,0,10,15,1225,23,2000,729,292,23,485,411,9,5
20,GORJ,"ȘCOALA GIMNAZIALĂ PISCURI",267,PLOPŞORU,81264,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:28:57",1025,1009,1,7,8,724,709,0,7,8,707,17,1100,376,336,6,279,82,3,1
20,GORJ,"ȘCOALA PRIMARĂ BROȘTENI",266,PLOPŞORU,81264,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:29:03",808,795,1,0,12,538,526,0,0,12,517,21,900,362,169,32,173,128,13,2
20,GORJ,"ȘCOALA PRIMARĂ VĂLENI",268,PLOPŞORU,81264,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:32:16",1548,1539,0,0,9,909,900,0,0,9,871,38,1748,839,209,76,352,181,46,7
