precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ILAŞ GABRIEL-PARTIDUL NAȚIONAL LIBERAL-voturi","IANOŞEV DRAGOSLAV-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","TANASIN SÎRGEAN-PARTIDUL SOCIAL DEMOCRAT-voturi","DILA DANIEL-CRISTIAN-FORȚA DREPTEI-voturi"
37,TIMIŞ,"ŞCOALA PRIMARĂ BOBDA",352,CENEI,156277,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:29:27",747,719,0,9,19,443,415,0,9,19,421,19,887,447,53,12,306,50
37,TIMIŞ,"SEDIUL PRIMĂRIEI CENEI",351,CENEI,156277,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:47:43",1782,1743,5,2,32,939,903,2,2,32,901,38,1900,961,109,52,717,23
