precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"SCRECIU MARIUS-VASILE-PARTIDUL SOCIAL DEMOCRAT-voturi","KOLER EDUARD-VIRGIL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","POPESCU VIRGIL-DANIEL-PARTIDUL NAȚIONAL LIBERAL-voturi","PREDEŢEANU IONELA-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","MĂNEANU FLORIN-ION-PARTIDUL NOUA DREAPTĂ-voturi","GHERGHE CONSTANTIN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","GHEORGHE LIVIA-TATIANA-PARTIDUL S.O.S. ROMÂNIA-voturi"
27,MEHEDINŢI,"ASOCIAȚIA DE PROPRIETARI NR.90",5,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,2,PART,PRCNCT,P,P_SV,"2024-06-10 11:54:43",875,868,0,6,1,402,395,0,6,1,374,28,989,587,182,47,77,1,11,45,11
27,MEHEDINŢI,"ASOCIATIA LIGA ”SOLIDARITATEA” A PENSIONARILOR",20,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:42:43",1106,1094,1,11,0,445,434,0,11,0,424,21,1189,744,219,58,88,2,9,39,9
27,MEHEDINŢI,"COLEGIUL NAȚIONAL ECONOMIC ”THEODOR COSTESCU”",16,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:20:40",978,964,0,14,0,379,365,0,14,0,368,11,1066,687,180,53,78,5,15,29,8
27,MEHEDINŢI,"COLEGIUL NAȚIONAL ”GHEORGHE ȚIȚEICA”",14,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:24:16",1100,1092,0,8,0,419,411,0,8,0,398,21,1188,769,176,71,84,10,9,42,6
27,MEHEDINŢI,"COLEGIUL NAȚIONAL ”GHEORGHE ȚIȚEICA”",15,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:16:10",1031,1020,1,9,1,392,382,0,9,1,376,16,1251,859,169,45,84,5,13,55,5
27,MEHEDINŢI,"COLEGIUL NAȚIONAL ”TRAIAN”",2,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:33:14",1294,1273,5,7,9,521,506,0,6,9,507,14,1432,911,252,73,95,6,9,59,13
27,MEHEDINŢI,"COLEGIUL TEHNIC ”DECEBAL”",48,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:39:52",1306,1293,0,10,3,516,503,0,10,3,496,20,1454,938,209,107,95,7,19,51,8
27,MEHEDINŢI,"COLEGIUL TEHNIC ”DOMNUL TUDOR”",28,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:45:36",1067,1058,1,5,3,429,421,0,5,3,419,10,1126,697,218,68,58,5,14,44,12
27,MEHEDINŢI,"COLEGIUL TEHNIC ”DOMNUL TUDOR”",27,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:34:09",832,825,1,4,2,330,324,0,4,2,322,8,910,580,143,73,56,9,5,29,7
27,MEHEDINŢI,"COLEGIUL TEHNIC ”DOMNUL TUDOR”",30,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:31:36",1209,1199,0,10,0,438,428,0,10,0,426,12,1361,923,203,82,79,3,12,39,8
27,MEHEDINŢI,"COLEGIUL TEHNIC ”DOMNUL TUDOR”",29,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:03:03",1217,1201,0,9,7,481,465,0,9,7,461,20,1367,886,218,67,87,7,13,62,7
27,MEHEDINŢI,"COLEGIUL TEHNIC ”LORIN SĂLĂGEAN” (LICEUL INDUSTRIAL NR.4)",32,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:03:48",438,424,0,11,3,420,406,0,11,3,388,18,1178,772,202,69,59,3,7,34,14
27,MEHEDINŢI,"CONSILIUL LOCAL DROBETA-TURNU SEVERIN - PALATUL CULTURII ”TEODOR COSTESCU”",1,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PART,PRCNCT,P,P_SV,"2024-06-10 12:29:14",1287,1270,0,11,6,545,528,0,11,6,520,25,1410,865,235,106,98,2,15,48,16
27,MEHEDINŢI,"DIRECȚIA GENERALĂ DE ASISTENȚĂ ȘI PROTECȚIA COPILULUI MEHEDINȚI",24,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:02:29",1578,1560,2,12,4,601,585,0,12,4,571,14,1764,1163,298,81,110,4,6,53,19
27,MEHEDINŢI,"DIRECȚIA GENERALĂ DE ASISTENȚĂ ȘI PROTECȚIA COPILULUI MEHEDINȚI",25,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:39:13",1359,1344,0,9,6,442,427,0,9,6,427,15,1483,1041,200,65,100,3,0,54,5
27,MEHEDINŢI,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR.15",62,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:54:47",1277,1270,0,7,0,537,530,0,7,0,507,21,1422,894,307,63,87,5,8,27,10
27,MEHEDINŢI,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR.15",63,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:47:25",1607,1602,1,3,1,488,484,0,3,1,470,18,583,95,187,93,113,3,5,51,18
