precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi"
41,VRANCEA,"ȘCOALA GIMNAZIALĂ NR.1 ȘINDRILARI",266,REGHIU,177469,2,PART,PRCNCT,CL,CL_SV,"2024-06-12 22:02:42",937,921,0,5,11,570,554,0,5,11,553,17,1028,458,34,426,84,9
41,VRANCEA,"ȘCOALA GIMNAZIALĂ NR.1 ȘINDRILARI",267,REGHIU,177469,2,PART,PRCNCT,CL,CL_SV,"2024-06-12 21:59:23",508,495,0,7,6,270,257,0,7,6,263,7,551,281,8,207,38,10
41,VRANCEA,"ȘCOALA PRIMARĂ RĂIUȚI",265,REGHIU,177469,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:13:43",241,238,0,3,0,150,147,0,3,0,140,10,261,111,11,106,16,7
