precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"POP MĂRIUŢA-FIRUŢA-PARTIDUL SOCIAL DEMOCRAT-voturi","BOHOTICI GHEORGHE-PARTIDUL NAȚIONAL LIBERAL-voturi","POP RADU-PARTIDUL ECOLOGIST ROMÂN-voturi"
26,MARAMUREŞ,"CĂMINUL CULTURAL",308,DESEŞTI,107975,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:31:57",445,418,0,11,16,311,284,0,11,16,302,9,472,161,154,148,0
26,MARAMUREŞ,"CĂMINUL CULTURAL",307,DESEŞTI,107975,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:45:07",756,700,0,33,23,557,501,0,33,23,543,14,800,243,270,254,19
26,MARAMUREŞ,ȘCOALA,309,DESEŞTI,107975,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:26:40",774,716,0,36,22,610,552,0,36,22,590,20,800,190,222,362,6
