precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
17,DOLJ,"ȘCOALA GEN.CLASELE I-IV SECU",487,SECU,74171,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:22:30",724,615,0,71,38,524,415,0,71,38,519,5,648,124,98,383,38
17,DOLJ,"ŞCOALA GENERALĂ CU CLS. I-IV SMADOVICIOARA",488,SECU,74171,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:50:11",174,158,0,9,7,146,130,0,9,7,142,4,200,54,31,111,0
