precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"LUPOAICA ELENA-CLAUDIA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","TUŢĂ CONSTANTIN-PARTIDUL SOCIAL DEMOCRAT-voturi","DANEŞ CĂTĂLIN-NICUŞOR-PARTIDUL NAȚIONAL LIBERAL-voturi","POPESCU MIHAI-PARTIDUL MIȘCAREA POPULARĂ-voturi"
40,VÂLCEA,"ŞCOALA CU CLASELE I-IV BRATOVEŞTI",411,TITEŞTI,174496,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:16:34",135,120,0,6,9,102,87,0,6,9,97,5,140,38,15,6,73,3
40,VÂLCEA,"ŞCOALA CU CLASELE I-VIII TITEŞTI (SALĂ DE FESTIVITĂȚI)",410,TITEŞTI,174496,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:55:46",423,403,0,3,17,293,273,0,3,17,278,15,470,177,19,49,184,26
