precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"GÎRNEAŢĂ ELENA-PARTIDUL SOCIAL DEMOCRAT-voturi","DUMITRU DUMITRU-PARTIDUL NAȚIONAL LIBERAL-voturi"
41,VRANCEA,"CĂMINUL CULTURAL",283,"SLOBOZIA CIORĂŞTI",177726,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:16:45",1069,1029,4,6,30,558,521,1,6,30,527,31,1166,608,454,73
41,VRANCEA,"GRĂDINIȚA CU PROGRAM NORMAL JILIȘTE",284,"SLOBOZIA CIORĂŞTI",177726,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:49:52",587,574,1,6,6,314,301,1,6,6,296,18,633,319,284,12
