precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","ALIANȚA DREAPTA UNITĂ USR - FORȚA DREPTEI-voturi"
36,TELEORMAN,"CĂMIN CULTURAL",300,TALPA,154521,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:53:43",689,532,0,82,75,617,460,0,82,75,610,7,664,45,354,222,27,7
36,TELEORMAN,"ȘCOALA GIMNAZIALĂ COMUNA TALPA",299,TALPA,154521,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:19:21",751,568,0,96,87,666,483,0,96,87,638,11,713,64,431,187,19,1
