precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi"
13,CLUJ,"CAMIN CULTURAL CATINA",392,CĂTINA,56773,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:47:01",924,851,0,19,54,608,535,0,19,54,567,41,930,322,296,77,45,19,130
13,CLUJ,"CAMIN CULTURAL FELDIOARA",394,CĂTINA,56773,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:55:08",364,358,0,3,3,203,197,0,3,3,189,12,396,192,45,62,57,18,7
13,CLUJ,"CĂMINUL CULTURAL COPRU",393,CĂTINA,56773,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:44:33",87,80,0,7,0,55,48,0,7,0,52,3,88,33,18,26,1,2,5
