precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"AVRAM-ZAHARIA NICOLAE-PARTIDUL NAȚIONAL LIBERAL-voturi","CURIŢA FLORIN-PARTIDUL SOCIAL DEMOCRAT-voturi","VOIN PETRIŞOR-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","IMBREA ION-PARTIDUL MIȘCAREA POPULARĂ-voturi"
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL-DALBOSET",229,DALBOŞEŢ,52570,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:29:22",806,737,2,25,42,590,523,0,25,42,575,12,860,273,36,502,16,21
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL ȘOPOTU VECHI",230,DALBOŞEŢ,52570,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:54:11",539,487,0,11,41,352,300,0,11,41,342,10,526,174,10,285,46,1
