precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
34,SIBIU,"PRIMARIA BAZNA",236,BAZNA,144152,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:44:47",1411,1382,2,8,19,608,580,1,8,19,572,36,1550,942,48,128,353,43
34,SIBIU,"SCOALA GIMNAZIALA BOIAN",237,BAZNA,144152,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:21:26",1158,1134,1,6,17,596,573,0,6,17,555,41,1270,631,6,396,124,29
34,SIBIU,"SCOALA PRIMARĂ VELȚ",238,BAZNA,144152,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 02:29:05",481,474,1,3,3,210,204,0,3,3,177,33,521,311,11,43,90,33
