precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL S.O.S. ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL ROMÂNIA MARE-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","PARTIDUL PRO ROMÂNIA-voturi"
33,SĂLAJ,"CAMINUL CULTURAL CRISTUR-CRISENI",132,CRIŞENI,140823,2,PART,PRCNCT,CL,CL_SV,"2024-06-13 13:00:43",437,418,0,7,12,293,274,0,7,12,292,1,500,207,0,6,5,11,3,205,56,0,6
33,SĂLAJ,"ȘCOALA GIMNAZIALĂ ” VASILE BREBAN ”” CRIȘENI",131,CRIŞENI,140823,4,PART,PRCNCT,CL,CL_SV,"2024-06-13 12:55:50",1672,1610,4,36,22,1210,1152,0,36,22,1191,19,1735,525,68,34,78,354,8,30,484,64,71
33,SĂLAJ,"ȘCOALA PRIMARĂ GÎRCEIU",133,CRIŞENI,140823,2,PART,PRCNCT,CL,CL_SV,"2024-06-13 13:05:15",700,663,3,14,20,459,425,0,14,20,441,18,770,311,2,18,6,125,80,82,124,0,4
