precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
6,BISTRIŢA-NĂSĂUD,"BIBLIOTECA ORĂȘENEASCĂ BECLEAN „LIVIU REBREANU”",59,"ORAŞ BECLEAN",32483,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:41:13",1596,1525,3,42,26,902,834,0,42,26,894,8,1700,798,374,51,103,261,105
6,BISTRIŢA-NĂSĂUD,"CLUBUL COPIILOR BECLEAN",62,"ORAŞ BECLEAN",32483,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:24:47",778,764,1,11,2,363,350,0,11,2,361,2,850,487,165,23,39,99,35
6,BISTRIŢA-NĂSĂUD,"CLUBUL COPIILOR BECLEAN",61,"ORAŞ BECLEAN",32483,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:07:52",727,715,1,10,1,362,351,0,10,1,351,11,800,438,141,31,34,111,34
6,BISTRIŢA-NĂSĂUD,"GRĂDINIȚA CU PROGRAM NORMAL COLDĂU",67,"ORAŞ BECLEAN",32483,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:29:21",649,639,0,4,6,338,328,0,4,6,332,6,700,362,112,19,100,54,47
6,BISTRIŢA-NĂSĂUD,"GRĂDINIȚA CU PROGRAM NORMAL RUSU DE JOS",69,"ORAŞ BECLEAN",32483,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:16:34",283,274,0,7,2,163,154,0,7,2,155,8,300,137,102,15,7,26,5
6,BISTRIŢA-NĂSĂUD,"GRĂDINIȚA CU PROGRAM NORMAL VALEA VIILOR",66,"ORAŞ BECLEAN",32483,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:33:33",363,344,7,7,5,207,195,0,7,5,200,7,402,195,104,8,17,55,16
6,BISTRIŢA-NĂSĂUD,"LICEUL TEHNOLOGIC AGRICOL BECLEAN",64,"ORAŞ BECLEAN",32483,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:25:39",1541,1527,1,11,2,783,770,0,11,2,771,12,1700,917,339,41,69,218,104
6,BISTRIŢA-NĂSĂUD,"PRIMĂRIA ORAȘULUI BECLEAN",60,"ORAŞ BECLEAN",32483,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:36:43",1748,1641,2,74,31,894,854,0,9,31,882,12,1800,906,509,61,61,200,51
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GENERALĂ BECLENUŢ",65,"ORAŞ BECLEAN",32483,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:22:13",330,321,0,7,2,195,186,0,7,2,186,9,350,155,98,19,8,51,10
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ ”GRIGORE SILAŞI”",63,"ORAŞ BECLEAN",32483,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:32:03",1532,1518,2,6,6,804,791,1,6,6,787,17,1650,846,335,52,94,204,102
6,BISTRIŢA-NĂSĂUD,"ȘCOALA PRIMARĂ FIGA",68,"ORAŞ BECLEAN",32483,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:02:04",456,425,1,10,20,301,273,0,10,18,287,14,511,210,239,12,4,24,8
