precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"SIMIONCA IONUŢ-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","SIGHIARTĂU ROBERT-IONATAN-PARTIDUL NAȚIONAL LIBERAL-voturi","TALOŞ MIRCEA-PARTIDUL NAȚIONAL ȚĂRĂNESC MANIU-MIHALACHE-voturi","FLOREAN OVIDIU-IOSIF-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","MOLDOVAN EMIL-RADU-PARTIDUL SOCIAL DEMOCRAT-voturi","SAS LÓRÁNT-ZOLTAN-PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi"
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ CLASELE I-IV REBRIŞOARA",225,REBRIŞOARA,34280,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 17:10:37",1401,1379,2,0,20,848,827,1,0,20,823,25,1500,652,10,322,3,24,459,5
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ CLASELE I-IV REBRIŞOARA",226,REBRIŞOARA,34280,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 17:05:35",1663,1633,0,6,24,1005,975,0,6,24,965,40,1800,795,4,505,3,30,423,0
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ CLASELE I-VIII, ROMULI",234,ROMULI,34360,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 18:54:58",1066,1020,0,4,42,749,703,0,4,42,743,6,1100,351,8,199,3,79,453,1
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ COCIU",277,ŞINTEREAG,34903,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 17:10:21",840,832,0,2,6,512,504,0,2,6,496,16,890,378,37,201,6,13,238,1
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ CORMAIA",84,"ORAŞ SÂNGEORZ-BĂI",32599,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 17:04:32",773,765,0,8,0,393,385,0,8,0,318,62,840,460,2,205,1,18,92,0
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ CORVINEŞTI",177,MATEI,33658,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 18:47:42",499,478,0,4,17,332,311,0,4,17,311,21,550,218,13,118,0,17,161,2
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ ”DEMIAN NECHITI”",147,"ILVA MICĂ",33364,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 13:19:08",1389,1352,0,0,37,843,806,0,0,37,828,15,1500,657,19,147,1,47,608,6
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ DOBRIC",104,"CĂIANU MIC",32811,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 17:02:43",1170,1126,1,0,43,549,506,0,0,43,536,13,1192,643,6,140,0,12,376,2
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ DOROLEA",165,LIVEZILE,33541,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:01:18",579,559,5,12,3,321,306,0,12,3,312,9,620,299,18,42,3,18,230,1
6,BISTRIŢA-NĂSĂUD,"ȘCOALA GIMNAZIALĂ DUMITRIȚA",132,DUMITRIŢA,179686,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 17:37:33",1079,1047,2,6,24,637,607,0,6,24,605,27,1150,513,19,118,2,76,384,6
6,BISTRIŢA-NĂSĂUD,"ȘCOALA GIMNAZIALĂ ”ENEA GRAPINI” ŞANŢ",251,ŞANŢ,34618,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 18:12:43",1121,1098,0,4,19,825,802,0,4,19,799,26,1200,375,29,424,6,18,321,1
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ „GEORGE COŞBUC”",127,COŞBUC,33177,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 17:29:43",1613,1578,1,4,30,931,897,0,4,30,894,37,1732,801,14,306,1,33,538,2
