precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","CRIŞAN TEODOR-voturi","TAT SORIN-HOREA-voturi"
1,ALBA,"CĂMINUL CULTURAL CIUGUDU DE JOS",420,UNIREA,8158,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 02:40:54",264,256,0,5,3,161,153,0,5,3,153,8,294,133,10,9,19,1,99,3,12
1,ALBA,"CĂMINUL CULTURAL INOC",423,UNIREA,8158,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:40:00",162,156,0,5,1,84,78,0,5,1,80,4,176,92,12,11,16,2,25,11,3
1,ALBA,"CĂMINUL CULTURAL MĂHĂCENI",424,UNIREA,8158,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:07:57",216,200,1,8,7,118,103,0,8,7,113,5,221,103,8,3,25,4,67,4,2
1,ALBA,"ŞCOALA GIMNAZIALĂ ”AVRAM IANCU” UNIREA",418,UNIREA,8158,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:58:50",780,760,0,3,17,377,357,0,3,17,370,7,858,481,49,36,51,105,114,12,3
1,ALBA,"ŞCOALA GIMNAZIALĂ ”AVRAM IANCU” UNIREA",417,UNIREA,8158,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:01:15",897,855,1,6,35,394,353,0,6,35,370,24,990,596,43,12,46,67,191,9,2
1,ALBA,"ŞCOALA GIMNAZIALĂ ”GHEORGHE MAIER” UNIREA",419,UNIREA,8158,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:41:51",1174,1141,0,10,23,580,547,0,10,23,554,26,1280,700,73,18,52,7,390,8,6
1,ALBA,"ŞCOALA PRIMARĂ CIUGUDU DE SUS",421,UNIREA,8158,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:47:39",108,94,0,12,2,64,50,0,12,2,61,3,105,41,7,4,6,3,37,1,3
1,ALBA,"ŞCOALA PRIMARĂ DUMBRAVA",422,UNIREA,8158,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 02:47:44",308,262,0,13,33,173,127,0,13,33,166,7,288,115,7,1,6,3,39,110,0
