precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL VERDE-voturi"
24,IAŞI,"CĂMINUL CULTURAL DRĂGUŞENI",442,DRĂGUŞENI,100308,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:28:35",725,714,0,2,9,395,384,0,2,9,375,20,800,405,171,169,13,22
24,IAŞI,"ŞCOALA FRENCIUGI",443,DRĂGUŞENI,100308,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:29:05",424,415,0,5,4,227,218,0,5,4,217,10,442,215,89,97,17,14
