precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"OLAR GABRIELA-CARMEN-ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","FAZAKAS NICOLAE-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","TALOŞ IOAN-DANIEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PRUNEAN ALIN-COSTEL-PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","BÎRSAN CRISTIAN-CLAUDIU-PARTIDUL NAȚIONAL LIBERAL-voturi","CIUNT IONEL-PARTIDUL SOCIAL DEMOCRAT-voturi"
33,SĂLAJ,"ŞCOALA GIMNAZIALĂ ”CORNELIU COPOSU”",25,"MUNICIPIUL ZALĂU",139704,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:15:33",1176,1167,0,9,0,585,576,0,9,0,573,12,1350,765,35,81,28,25,68,336
33,SĂLAJ,"ŞCOALA GIMNAZIALĂ ”CORNELIU COPOSU”",24,"MUNICIPIUL ZALĂU",139704,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:22:23",1211,1211,0,0,0,463,463,0,0,0,457,6,1442,976,35,37,25,14,59,287
33,SĂLAJ,"ŞCOALA GIMNAZIALĂ ”CORNELIU COPOSU”",23,"MUNICIPIUL ZALĂU",139704,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:25:52",1440,1430,0,10,0,573,563,0,10,0,556,17,1600,1027,35,49,33,18,51,370
33,SĂLAJ,"ȘCOALA GIMNAZIALĂ ”CORNELIU COPOSU”",22,"MUNICIPIUL ZALĂU",139704,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:37:55",1237,1224,4,8,1,468,459,0,8,1,461,7,1400,932,28,32,24,18,44,315
33,SĂLAJ,"ŞCOALA GIMNAZIALĂ ”GHEORGHE LAZĂR”",12,"MUNICIPIUL ZALĂU",139704,2,PART,PRCNCT,P,P_SV,"2024-06-10 11:41:31",1710,1697,4,6,3,779,770,0,6,3,766,13,1900,1121,45,90,39,43,95,454
33,SĂLAJ,"ŞCOALA GIMNAZIALĂ ”IULIU MANIU”",17,"MUNICIPIUL ZALĂU",139704,4,PART,PRCNCT,P,P_SV,"2024-06-13 13:50:38",1629,1614,7,8,0,548,540,0,8,0,540,8,1792,1244,22,57,40,20,63,338
33,SĂLAJ,"ŞCOALA GIMNAZIALĂ ”MIHAI EMINESCU”",36,"MUNICIPIUL ZALĂU",139704,2,PART,PRCNCT,P,P_SV,"2024-06-10 05:09:09",1533,1525,1,6,1,636,629,0,6,1,623,13,1700,1064,29,68,27,40,89,370
33,SĂLAJ,"ŞCOALA GIMNAZIALĂ ”POROLISSUM”",15,"MUNICIPIUL ZALĂU",139704,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:03:25",1691,1678,7,5,1,754,748,0,5,1,740,14,1860,1106,45,60,37,29,110,459
33,SĂLAJ,"ŞCOALA GIMNAZIALĂ ”POROLISSUM”",16,"MUNICIPIUL ZALĂU",139704,2,PART,PRCNCT,P,P_SV,"2024-06-13 13:44:54",1826,1811,8,7,0,823,816,0,7,0,806,17,1951,1128,37,63,67,35,131,473
33,SĂLAJ,"ȘCOALA GIMNAZIALĂ ”SIMION BĂRNUȚIU”",11,"MUNICIPIUL ZALĂU",139704,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:33:38",1410,1395,4,10,1,690,679,0,10,1,678,9,1900,1213,26,77,24,29,118,404
33,SĂLAJ,"ŞCOALA POSTLICEALĂ SANITARĂ",31,"MUNICIPIUL ZALĂU",139704,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:37:20",1264,1250,5,7,2,508,499,0,7,2,496,12,1450,942,18,49,37,8,56,328
33,SĂLAJ,"ŞCOALA PRIMARĂ STÎNA",39,"MUNICIPIUL ZALĂU",139704,2,PART,PRCNCT,P,P_SV,"2024-06-10 05:43:03",231,221,0,9,1,114,104,0,9,1,112,2,300,186,2,0,5,2,14,89
33,SĂLAJ,"STADIONUL MUNICIPAL SEDIUL CLUBULUI SPORTIV MUNICIPAL",5,"MUNICIPIUL ZALĂU",139704,2,PART,PRCNCT,P,P_SV,"2024-06-10 05:53:16",1343,1329,3,9,2,617,606,0,9,2,612,5,1400,783,36,119,32,21,77,327
