precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL ROMÂNIA PUTERNICĂ-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
37,TIMIŞ,"CĂMINUL CULTURAL BICHIGI",261,"ORAŞ FĂGET",156801,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:10:27",516,511,0,5,0,313,308,0,5,0,302,11,600,287,187,51,57,0,3,4
37,TIMIŞ,"CĂMINUL CULTURAL BRĂNEŞTI",262,"ORAŞ FĂGET",156801,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:50:32",404,398,0,3,3,263,257,0,3,3,254,9,445,182,90,121,40,0,2,1
37,TIMIŞ,"CĂMINUL CULTURAL POVÂRGINA",266,"ORAŞ FĂGET",156801,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:42:36",130,121,0,9,0,78,69,0,9,0,75,3,200,122,49,15,6,0,1,4
37,TIMIŞ,"CĂMINUL CULTURAL TEMEREŞTI",267,"ORAŞ FĂGET",156801,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:32:29",416,402,5,6,3,235,226,0,6,3,234,1,500,265,119,69,28,5,3,10
37,TIMIŞ,"CLĂDIRE ADMINISTRATIVĂ FĂGET",256,"ORAŞ FĂGET",156801,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:43:54",1407,1394,2,7,4,801,790,0,7,4,787,14,1500,699,421,223,97,7,19,20
37,TIMIŞ,"FOSTA ȘCOALĂ GENERALĂ JUPÂNEŞTI",265,"ORAŞ FĂGET",156801,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:09:27",155,148,0,5,2,115,108,0,5,2,93,22,200,85,37,52,1,0,2,1
37,TIMIŞ,"FOSTA ŞCOALĂ GIMNAZIALĂ BEGHEIU MIC",260,"ORAŞ FĂGET",156801,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:21:41",280,272,0,6,2,183,175,0,6,2,173,10,300,117,99,27,37,1,4,5
37,TIMIŞ,"GRĂDINIŢA CU PROGRAM NORMAL FĂGET",258,"ORAŞ FĂGET",156801,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:58:17",1383,1365,3,11,4,838,821,2,11,4,801,36,1400,563,450,200,90,1,13,47
37,TIMIŞ,"ŞCOALA PRIMARĂ BĂTEȘTI,",259,"ORAŞ FĂGET",156801,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:21:48",448,443,0,5,0,277,272,0,5,0,270,7,500,223,101,71,86,0,4,8
37,TIMIŞ,"ȘCOALA PRIMARĂ BUNEA MARE",263,"ORAŞ FĂGET",156801,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:37:28",164,157,0,6,1,99,92,0,6,1,92,7,200,101,31,11,42,1,2,5
37,TIMIŞ,"ŞCOALA PRIMARĂ , COLONIA MICĂ",264,"ORAŞ FĂGET",156801,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:50:58",347,340,1,6,0,203,197,0,6,0,199,4,400,197,75,36,69,6,2,11
37,TIMIŞ,"SC TRANSPORT MIXT FĂGEȚEANA SA",257,"ORAŞ FĂGET",156801,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:16:30",296,281,0,10,5,193,178,0,10,5,187,6,300,107,114,45,22,1,5,0
