precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DIACONU SORIN-PARTIDUL NAȚIONAL LIBERAL-voturi","RADU CĂTĂLIN-PARTIDUL SOCIAL DEMOCRAT-voturi","NIŢOR IONUŢ-CRISTIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","TOADER CRISTIAN-ŞTEFAN-PARTIDUL S.O.S. ROMÂNIA-voturi","SCHIMBESCHI LILIANA-FORȚA DREPTEI-voturi","IORDACHE MARCEL-PARTIDUL MIȘCAREA POPULARĂ-voturi"
38,TULCEA,"CENTRUL CULTURAL ADMINISTRATIV SOCIAL",169,NUFĂRU,161053,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:04:38",1112,1093,0,7,12,628,609,0,7,12,623,5,1198,570,267,239,33,26,49,9
38,TULCEA,"ŞCOALA CU CLASELE I-IV",170,NUFĂRU,161053,1,PROV,PRCNCT,P,P_SV,"2024-06-10 01:31:55",196,181,0,10,5,105,90,0,10,5,104,1,207,102,14,47,10,0,30,3
38,TULCEA,"ŞCOALA GIMNAZIALA ”VASILE ALECSANDRI ”NUFARU",168,NUFĂRU,161053,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:57:37",1020,1000,0,10,10,529,509,0,10,10,519,10,1100,571,114,170,31,99,28,77
