precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"VELIŞCU CRISTINEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BARBU IONEL-PARTIDUL NAȚIONAL LIBERAL-voturi","DAMIAN NICOLAE-PARTIDUL SOCIAL DEMOCRAT-voturi","ALBU VIOREL-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
41,VRANCEA,"GRĂDINIŢA CIORANI",256,PUFEŞTI,177352,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:47:52",811,802,1,8,0,435,427,0,8,0,417,18,882,447,216,34,144,23
41,VRANCEA,"ŞCOALA GIMNAZIALĂ DOMNEŞTI-TÂRG",257,PUFEŞTI,177352,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:59:22",1238,1231,0,7,0,637,630,0,7,0,616,21,1355,718,178,22,320,96
41,VRANCEA,"ŞCOALA GIMNAZIALĂ PUFEŞTI",255,PUFEŞTI,177352,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:54:00",1269,1268,0,1,0,666,665,0,1,0,645,20,1405,740,187,83,234,141
