precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BUCERZAN MIRCEA-PARTIDUL SOCIAL DEMOCRAT-voturi","GRECU MARIUS-PARTIDUL NAȚIONAL LIBERAL-voturi"
34,SIBIU,"CĂMIN CULTURAL",234,"AXENTE SEVER",144116,3,PART,PRCNCT,P,P_SV,"2024-06-10 05:54:05",1167,1148,2,8,9,519,502,0,8,9,505,14,1300,781,195,310
34,SIBIU,"CĂMIN CULTURAL",235,"AXENTE SEVER",144116,2,PART,PRCNCT,P,P_SV,"2024-06-10 07:44:59",289,275,2,12,0,137,123,2,12,0,133,4,306,169,15,118
34,SIBIU,"SALA DE FESTIVITĂȚI",233,"AXENTE SEVER",144116,3,PART,PRCNCT,P,P_SV,"2024-06-10 11:23:37",1034,1025,0,8,1,485,476,0,8,1,466,18,1100,616,118,348
34,SIBIU,"ȘCOALA GIMNAZIALĂ AXENTE SEVER",232,"AXENTE SEVER",144116,3,PART,PRCNCT,P,P_SV,"2024-06-10 05:08:36",1034,1013,1,7,13,430,410,0,7,13,417,13,1110,680,175,242
