precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MUREŞAN IOAN-FLORIN-PARTIDUL SOCIAL DEMOCRAT-voturi","BALÁZS JANOS-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","MAIER PETRU-COSMIN-PARTIDUL NAȚIONAL LIBERAL-voturi","MATEI IOAN-PARTIDUL NAȚIONAL ȚĂRĂNESC MANIU-MIHALACHE-voturi","BARZ GABRIEL-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
13,CLUJ,"CASA DE CULTURĂ BACIU",326,BACIU,55838,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:38:52",1822,1798,6,14,4,867,848,1,14,4,849,18,1901,1034,185,444,141,8,71
13,CLUJ,"CASA DE CULTURĂ BACIU",324,BACIU,55838,1,PROV,PRCNCT,P,P_SV,"2024-06-10 13:30:37",1502,1478,5,15,4,860,841,0,15,4,841,19,1632,772,211,428,133,10,59
13,CLUJ,"CASA DE CULTURĂ BACIU",325,BACIU,55838,1,PART,PRCNCT,P,P_SV,"2024-06-10 16:02:02",1691,1687,1,2,1,949,946,0,2,1,937,9,1851,905,291,451,155,10,30
13,CLUJ,"GRĂDINIȚĂ CU PROGRAM PRELUNGIT (STRUCTURĂ BLOCURI)",322,BACIU,55838,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:40:00",1689,1662,10,17,0,742,725,0,17,0,735,7,1838,1096,144,337,126,10,118
13,CLUJ,"GRĂDINIȚĂ CU PROGRAM PRELUNGIT (STRUCTURĂ BLOCURI)",323,BACIU,55838,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:38:37",718,686,5,27,0,410,383,0,27,0,405,5,764,354,58,202,60,11,74
13,CLUJ,"ȘCOALA CORUȘU",327,BACIU,55838,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:51:18",578,565,3,7,3,337,327,0,7,3,330,7,624,287,85,109,98,9,29
13,CLUJ,"ȘCOALA MERA",328,BACIU,55838,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:48:06",1357,1321,1,8,27,834,799,0,8,27,794,40,1453,619,177,552,52,3,10
13,CLUJ,"ȘCOALA POPEȘTI",329,BACIU,55838,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:32:00",840,823,1,16,0,544,528,0,16,0,536,8,892,348,142,244,69,7,74
13,CLUJ,"ȘCOALA SĂLIȘTEA NOUĂ",330,BACIU,55838,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:02:43",160,153,0,7,0,97,90,0,7,0,95,2,167,70,27,28,21,5,14
13,CLUJ,"ȘCOALA SUCEAGU",331,BACIU,55838,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:29:27",1230,1207,1,16,6,735,713,0,16,6,702,33,1347,612,168,358,149,9,18
