precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ROMÂNIA SOCIALISTĂ-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
29,NEAMŢ,"CĂMINUL CULTURAL LOC.BLEBEA",145,"ORAŞ TÂRGU-NEAMŢ",121055,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:05:30",670,662,0,8,0,356,348,0,8,0,343,13,700,344,129,123,31,1,7,26,1,21,4
29,NEAMŢ,"CĂMINUL PENTRU PERSOANE VÂRSTNICE ROZNOV",131,"ORAŞ ROZNOV",124117,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:11:16",1368,1355,0,10,3,660,647,0,10,3,604,56,1500,840,302,82,74,5,6,40,57,33,5
29,NEAMŢ,"CASA CORPULUI DIDACTIC",54,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 13:28:41",1295,1289,2,4,0,601,597,0,4,0,555,46,1400,799,187,123,66,15,9,52,16,38,49
29,NEAMŢ,"CASA DE PRĂZNUIRE A PAROHIEI ZVORĂNEŞTI",456,TIMIŞEŞTI,124661,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:31:52",130,129,0,1,0,76,75,0,1,0,75,1,199,123,14,47,10,0,0,1,0,3,0
29,NEAMŢ,"CASA SOCIALĂ A PAROHIEI ZVORĂNEŞTI, FILIA LUNCA MOLDOVEI",342,PĂSTRĂVENI,123371,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:21:59",244,237,1,6,0,176,169,1,6,0,164,12,300,124,105,32,14,0,1,4,0,6,2
29,NEAMŢ,"CENTRU CULTURAL MULTIFUNCTIONAL",489,ZĂNEŞTI,125061,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:46:09",1150,1130,1,4,15,617,598,0,4,15,584,33,1200,583,287,100,47,0,7,103,1,36,3
29,NEAMŢ,"CENTRUL CULTURAL IZVORU MUNTELUI",125,"ORAŞ BICAZ",120968,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:34:20",396,389,0,4,3,217,210,0,4,3,205,12,400,183,60,93,28,0,1,7,4,10,2
29,NEAMŢ,"CENTRUL DE ÎNGRIJIRE ŞI ASISTENŢĂ BĂTRÂNI (DISPENSAR 7)",103,"MUNICIPIUL ROMAN",120860,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:21:58",1830,1818,1,9,2,979,968,0,9,2,941,35,2000,1024,292,418,60,9,8,96,3,52,3
29,NEAMŢ,"CENTRUL DE PERMANENŢĂ DE LA DISPENSARUL MEDICAL NR. 6",83,"MUNICIPIUL ROMAN",120860,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:17:01",1195,1185,1,8,1,428,419,0,8,1,416,12,1300,872,138,159,41,3,4,41,3,18,9
29,NEAMŢ,"CENTRUL DE SPRIJIN ȘI ASISTENȚĂ DE SPECIALITATE PENTRU COPII",21,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:21:48",1387,1373,3,11,0,483,472,0,11,0,457,26,1500,1017,163,95,45,11,12,42,13,44,32
29,NEAMŢ,"CENTRUL MEDICAL ADJUDENI",451,TĂMĂŞENI,124634,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:03:05",1512,1510,2,0,0,515,515,0,0,0,479,36,1700,1185,54,219,32,2,11,126,5,21,9
