precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","FORȚA DREPTEI-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi"
40,VÂLCEA,"FOSTA ȘCOALA CU CLASELE I-VIII OCNIŢA",157,"ORAŞ OCNELE MARI",168130,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:13:28",1440,1368,0,54,18,1016,944,0,54,18,972,44,1510,494,22,443,53,357,32,17,31,17
40,VÂLCEA,"ȘCOALA GIMNAZIALĂ COSTEA MARINOIU OCNELE MARI",156,"ORAŞ OCNELE MARI",168130,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:30:26",1370,1320,0,30,20,970,920,0,30,20,919,51,1500,530,49,425,34,278,18,2,20,93
