precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","FORȚA DREPTEI-voturi"
17,DOLJ,"CAMINUL CULTURAL BASARABI (DIN CADRUL CASEI DE CULTURA CALAFAT )",197,"MUNICIPIUL CALAFAT",70352,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:56:35",840,826,4,8,2,525,515,0,8,2,512,13,1000,465,157,297,45,12,1
17,DOLJ,"CAMINUL CULTURAL CIUPERCENII VECHII ( DIN CADRUL CASEI DE CULTURA CALAFAT )",198,"MUNICIPIUL CALAFAT",70352,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 11:20:23",1719,1712,1,3,3,948,942,0,3,3,898,50,1900,952,414,418,52,10,4
17,DOLJ,"LICEUL TEORETIC INDEPENDENTA",191,"MUNICIPIUL CALAFAT",70352,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 13:16:33",1827,1804,2,15,6,1016,995,0,15,6,971,45,1900,883,328,545,67,26,5
17,DOLJ,"SC. GENERALA NR. 1 CALAFAT",190,"MUNICIPIUL CALAFAT",70352,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 18:50:32",1441,1408,3,13,17,791,760,1,13,17,769,19,1526,738,283,379,73,20,14
17,DOLJ,"ŞCOALA GENERALĂ CONSTANTIN GEROTĂ (NR. 2)-LOCAL NOU",195,"MUNICIPIUL CALAFAT",70352,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 10:24:49",1529,1512,0,12,5,738,721,0,12,5,719,19,1600,862,274,349,63,15,18
17,DOLJ,"ŞCOALA GENERALĂ CONSTANTIN GEROTĂ(NR. 2)-LOCAL NOU",196,"MUNICIPIUL CALAFAT",70352,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 10:05:51",1625,1613,1,8,3,803,791,1,8,3,784,19,1800,997,256,416,74,33,5
17,DOLJ,"ŞCOALA GENERALĂ CONSTANTIN GEROTĂ (NR.2)-LOCAL VECHI",194,"MUNICIPIUL CALAFAT",70352,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:14:20",1607,1574,3,30,0,754,724,0,30,0,733,21,1800,1046,270,353,85,19,6
17,DOLJ,"ŞCOALA GENERALĂ CONSTANTIN GEROTĂ (NR.2)-LOCAL VECHI",193,"MUNICIPIUL CALAFAT",70352,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 10:43:19",1751,1737,2,12,0,832,820,0,12,0,791,41,1900,1068,348,347,65,18,13
17,DOLJ,"ŞCOALA GIMNAZIALĂ GHEORGHE BRĂESCU-GRĂDINIŢA CU PROGRAM NORMAL NR. 4",192,"MUNICIPIUL CALAFAT",70352,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 10:54:44",1388,1376,1,9,2,714,703,0,9,2,675,39,1500,786,231,362,57,20,5
17,DOLJ,"ŞCOALA GOLENŢI",199,"MUNICIPIUL CALAFAT",70352,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:54:08",391,383,0,5,3,225,217,0,5,3,214,11,500,259,79,104,22,7,2
