precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi"
13,CLUJ,"CĂMINUL CULTURAL PĂLATCA",578,PĂLATCA,58794,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:09:45",655,568,1,72,14,441,354,1,72,14,397,44,623,182,240,37,89,31
13,CLUJ,"CĂMINUL CULTURAL SAVA",579,PĂLATCA,58794,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:14:07",267,227,1,37,2,155,116,0,37,2,147,8,252,97,136,9,1,1
