precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL PRO ROMÂNIA-voturi","FORȚA DREPTEI-voturi"
39,VASLUI,"CASA DE CULTURA ”ALEXANDRU GIUGARU”",143,"MUNICIPIUL HUŞI",161829,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:58:24",1585,1573,1,11,0,422,411,0,11,0,408,14,1810,1388,75,92,191,16,26,2,6
39,VASLUI,"CENTRUL COMUNITAR INTEGRAT HUȘI",134,"MUNICIPIUL HUŞI",161829,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:10:14",1083,1075,1,6,1,374,367,0,6,1,362,12,1209,835,66,99,145,29,10,9,4
39,VASLUI,"CENTRUL CONSULTATIV HUȘI",136,"MUNICIPIUL HUŞI",161829,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:37:52",1609,1588,1,20,0,579,559,0,20,0,549,30,1909,1330,98,102,274,32,31,6,6
39,VASLUI,"COLEGIUL AGRICOL ”DIMITRIE CANTEMIR”",139,"MUNICIPIUL HUŞI",161829,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:33:11",1025,1025,0,0,0,371,371,0,0,0,363,8,1109,736,77,67,163,24,21,4,7
39,VASLUI,"COLEGIUL NAȚIONAL ”CUZA VODA”",137,"MUNICIPIUL HUŞI",161829,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:21:53",1794,1788,0,6,0,356,350,0,6,0,350,6,2009,1647,58,69,166,24,27,5,1
39,VASLUI,"DIRECTIA AGRICOLA JUDETEANA VASLUI - UNITATEA FITOSANITARA HUSI",153,"MUNICIPIUL HUŞI",161829,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:58:18",2095,2053,4,6,32,752,713,1,6,32,686,27,2308,1592,88,124,389,47,24,11,3
39,VASLUI,"LICEUL TEHNOLOGIC ”IOAN CORIVAN”",138,"MUNICIPIUL HUŞI",161829,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:58:22",1833,1822,1,10,0,493,483,0,10,0,472,21,2010,1303,97,96,215,31,23,5,5
39,VASLUI,"SCOALA GIMNAZIALĂ ”ANASTASIE PANU”",142,"MUNICIPIUL HUŞI",161829,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:23:23",1606,1595,0,11,0,580,569,0,11,0,564,15,1809,1230,98,113,274,34,26,16,3
39,VASLUI,"SCOALA GIMNAZIALĂ ”ANASTASIE PANU”",141,"MUNICIPIUL HUŞI",161829,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:15:13",1227,1221,0,5,1,312,306,0,5,1,290,22,1309,997,56,48,142,17,16,9,2
39,VASLUI,"SCOALA GIMNAZIALĂ ”ANASTASIE PANU”",140,"MUNICIPIUL HUŞI",161829,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:44:03",1331,1324,0,7,0,356,349,0,7,0,341,15,1500,1144,70,59,157,22,26,4,3
39,VASLUI,"SCOALA GIMNAZIALA”ION CREANGA”",147,"MUNICIPIUL HUŞI",161829,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 02:50:23",1709,1701,0,8,0,382,374,0,8,0,368,14,1809,1427,58,77,182,22,24,3,2
39,VASLUI,"SCOALA GIMNAZIALĂ ”ION CREANGA”",148,"MUNICIPIUL HUŞI",161829,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:54:41",1285,1277,0,8,0,488,480,0,8,0,462,26,1409,921,55,87,257,40,12,10,1
39,VASLUI,"ŞCOALA GIMNAZIALĂ ”ION CREANGĂ”",146,"MUNICIPIUL HUŞI",161829,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:47:48",1385,1378,0,7,0,589,582,0,7,0,565,24,1409,820,117,98,286,34,20,5,5
39,VASLUI,"SCOALA GIMNAZIALĂ „MIHAIL SADOVEANU”",145,"MUNICIPIUL HUŞI",161829,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:53:37",1097,1090,0,7,0,453,446,0,7,0,441,12,1209,756,106,74,224,21,11,5,0
39,VASLUI,"SCOALA GIMNAZIALĂ „MIHAIL SADOVEANU”",144,"MUNICIPIUL HUŞI",161829,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 10:32:13",1612,1606,0,6,0,618,612,0,6,0,597,21,1810,1188,89,117,313,47,19,10,2
39,VASLUI,"SCOALA GIMNAZIALĂ NR.4",152,"MUNICIPIUL HUŞI",161829,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:18:56",1519,1509,1,9,0,566,557,0,9,0,530,36,1709,1143,59,99,301,44,12,10,5
39,VASLUI,"SCOALA GIMNAZIALĂ NR.4",151,"MUNICIPIUL HUŞI",161829,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:27:19",1148,1140,0,6,2,425,417,0,6,2,409,16,1309,881,55,78,221,38,10,5,2
39,VASLUI,"SCOALA GIMNAZIALĂ NR.5",150,"MUNICIPIUL HUŞI",161829,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:02:46",1452,1440,0,11,1,249,237,0,11,1,234,15,1609,1360,43,47,112,19,8,5,0
39,VASLUI,"SCOALA GIMNAZIALĂ NR.5",149,"MUNICIPIUL HUŞI",161829,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 02:48:22",1860,1858,0,2,0,320,318,0,2,0,305,15,2009,1689,61,52,136,20,24,9,3
39,VASLUI,"SCOALA PROFESIONALA SPECIALĂ ”SF.ECATERINA”",135,"MUNICIPIUL HUŞI",161829,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:08:52",1536,1530,0,6,0,425,419,0,6,0,407,18,8085,5965,81,92,159,30,39,6,0
