precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ŞTEFAN PETRICĂ-PARTIDUL NAȚIONAL LIBERAL-voturi","TUDOR FLOREA-PARTIDUL SOCIAL DEMOCRAT-voturi","DIMA MIHAI-RĂZVAN-UNIUNEA SALVAȚI ROMÂNIA-voturi","CHIRIŢĂ ADRIAN-IONEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
19,GIURGIU,"ŞCOALA GIMNAZIALA NR. 2 TÂNTAVA",148,GRĂDINARI,103407,1,PROV,PRCNCT,P,P_SV,"2024-06-10 08:23:55",1036,973,0,59,4,670,607,0,59,4,646,24,1310,640,348,222,11,65
19,GIURGIU,"ŞCOALA GIMNZIALA NR. 1 GRADINARI",147,GRĂDINARI,103407,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:08:04",856,810,4,25,17,584,542,0,25,17,570,14,800,216,249,278,13,30
19,GIURGIU,"ŞCOALA PRIMARA NR. 3 ZORILE",149,GRĂDINARI,103407,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:43:41",902,860,0,22,20,603,561,0,22,20,590,13,800,197,241,285,46,18
