precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CORCĂU PETRE-MIHAI-PARTIDUL NAȚIONAL LIBERAL-voturi","UNGUREANU SAVU-PARTIDUL SOCIAL DEMOCRAT-voturi"
30,OLT,"GRĂDINIŢA SLĂTIOARA",307,SLĂTIOARA,125374,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:06:04",998,904,1,63,30,749,655,1,63,30,729,19,1025,277,183,546
30,OLT,"GRĂDINIŢA SLĂTIOARA",306,SLĂTIOARA,125374,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:58:54",1045,990,1,50,4,783,729,0,50,4,771,12,1085,302,340,431
30,OLT,"ŞCOALA GENERALĂ SALCIA",308,SLĂTIOARA,125374,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:04:35",346,328,0,15,3,230,212,0,15,3,218,12,354,124,50,168
