precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-voturi"
15,COVASNA,"CĂMINUL CULTURAL PETENI",212,ZĂBALA,65048,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:51:03",147,133,1,6,7,64,51,0,6,7,56,8,200,136,3,2,1,47,3,0
15,COVASNA,"CĂMINUL CULTURAL SURCEA",213,ZĂBALA,65048,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:50:52",488,480,0,4,4,272,264,0,4,4,260,12,500,228,2,2,0,241,4,11
15,COVASNA,"CĂMINUL CULTURAL TAMAŞFALĂU",214,ZĂBALA,65048,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:08:04",386,375,0,7,4,186,175,0,7,4,176,10,400,212,3,2,1,126,0,44
15,COVASNA,"CĂMINUL CULTURAL ZĂBALA",209,ZĂBALA,65048,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:52:48",1268,1232,2,8,26,597,563,0,8,26,570,27,1310,713,20,8,2,498,11,31
15,COVASNA,"CĂMINUL CULTURAL ZĂBALA (PAVA)",211,ZĂBALA,65048,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:15:59",695,683,2,5,5,242,231,1,5,5,218,24,800,558,7,9,4,178,4,16
15,COVASNA,"CLUBUL NR. 2 ZĂBALA",210,ZĂBALA,65048,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:07:42",829,817,2,5,5,374,363,1,5,5,342,32,900,526,125,42,2,125,40,8
