precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL VIITORUL ȚĂRII FĂGĂRAȘULUI-voturi"
8,BRAŞOV,"CĂMIN CULTURAL ŞERCAIA",416,ŞERCAIA,41818,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:15:32",1471,1427,7,8,29,764,725,2,8,29,724,40,1600,836,73,103,31,346,171
8,BRAŞOV,"CĂMIN CULTURAL VAD",418,ŞERCAIA,41818,4,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:50:24",486,456,1,24,5,286,256,1,24,5,251,15,504,238,79,9,4,91,68
8,BRAŞOV,"ȘCOALA PRIMARĂ HĂLMEAG",417,ŞERCAIA,41818,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:56:09",432,409,3,11,9,259,238,1,11,9,234,25,473,214,47,14,57,77,39
