precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-voturi"
26,MARAMUREŞ,"CAMINUL CULTURAL",269,"CÂMPULUNG LA TISA",107715,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:28:30",1213,1203,1,0,9,699,689,1,0,9,669,30,1346,647,360,170,17,105,17
26,MARAMUREŞ,PRIMĂRIA,270,"CÂMPULUNG LA TISA",107715,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:19:38",815,805,1,3,6,492,482,1,3,6,476,16,871,379,247,136,13,57,23
