precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CULCEA STELIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","CHIRIŢĂ AUREL-MARIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","STOICA VASILE-PARTIDUL NAȚIONAL LIBERAL-voturi"
12,CĂLĂRAŞI,"CENTRUL CULTURAL MULTIFUNCȚIONAL",121,DOROBANŢU,93441,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:45:32",1188,1150,1,14,23,793,757,0,14,22,769,24,1243,450,18,136,615
12,CĂLĂRAŞI,"ŞCOALA DIN SATUL BOŞNEAGU",122,DOROBANŢU,93441,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:25:48",298,270,0,14,14,205,177,0,14,14,199,6,300,95,1,41,157
12,CĂLĂRAŞI,"ŞCOALA PRIMARĂ NR. 1 VĂRĂŞTI",123,DOROBANŢU,93441,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:24:46",748,717,0,5,26,459,429,0,5,25,446,13,800,341,4,78,364
