precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PAMPA NECHITA-voturi"
26,MARAMUREŞ,"ŞCOALA CU CLASELE I-VIII",304,CUPŞENI,107920,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:27:38",341,330,0,6,5,213,202,0,6,5,206,7,400,187,4,64,6,119,11,2
26,MARAMUREŞ,"ŞCOALA CU CLASELE I-VIII",303,CUPŞENI,107920,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:49:21",616,606,0,5,5,407,397,0,5,5,390,16,700,293,13,103,35,193,45,1
26,MARAMUREŞ,"ŞCOALA CU CLASELE V-VIII",305,CUPŞENI,107920,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:43:32",827,803,2,3,19,665,642,1,3,19,654,11,900,235,30,445,30,101,39,9
26,MARAMUREŞ,"ŞCOALA PRIMARĂ",306,CUPŞENI,107920,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:56:28",948,938,1,4,5,546,536,1,4,5,531,15,1000,454,16,47,129,321,13,5
