precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi"
4,BACĂU,"ŞCOALA LEONTINEŞTI",239,ARDEOANI,21098,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:57:24",671,650,0,12,9,473,452,0,12,9,457,16,700,227,218,20,219
4,BACĂU,"ŞCOALA NR.1 ARDEOANI",238,ARDEOANI,21098,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:05:42",1270,1232,0,14,24,790,752,0,14,24,748,42,1396,606,416,24,308
