precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi"
34,SIBIU,"CĂMINUL CULTURAL RACOVIŢA",329,RACOVIŢA,145355,3,PART,PRCNCT,CL,CL_SV,"2024-06-13 17:49:02",1798,1766,1,15,16,1214,1182,1,15,16,1165,49,1950,736,46,793,326
34,SIBIU,"CĂMINUL CULTURAL SEBEȘU DE SUS",330,RACOVIŢA,145355,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:30:32",598,591,1,4,2,385,378,1,4,2,375,10,640,255,46,284,45
