precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA ELECTORALĂ PSD-PUSL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
31,PRAHOVA,"CĂMİN CULTURAL BOLDEŞTİ",338,BOLDEŞTI-GRADIŞTEA,132379,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:47:37",584,568,1,5,10,415,400,0,5,10,393,22,614,199,98,187,108
31,PRAHOVA,"ŞCOALA GİMNAZİALĂ COMUNA BOLDEŞTİ-GRADİŞTEA,CORP B",339,BOLDEŞTI-GRADIŞTEA,132379,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 14:50:04",652,624,0,8,20,481,453,0,8,20,444,37,707,226,195,68,181
