precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"KISGYÖRGY SÁNDOR-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi"
15,COVASNA,"PRIMĂRIA COMUNEI VALEA CRIŞULUI",197,"VALEA CRIŞULUI",64906,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:00:12",1517,1481,5,8,23,778,744,3,8,23,720,58,1590,812,720
15,COVASNA,"ŞCOALA PRIMARĂ ”DR. BEDŐ ALBERT” CALNIC",198,"VALEA CRIŞULUI",64906,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:27:33",441,418,0,3,20,267,244,0,3,20,256,11,514,245,256
