precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"POPA IOAN-DORIN-PARTIDUL NAȚIONAL LIBERAL-voturi","POPA ADRIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","VAIDA RODICA-PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi"
13,CLUJ,"CASA PROPRIETATE PARTICULARA",497,IARA,58008,1,PART,PRCNCT,P,P_SV,"2024-06-09 23:55:59",63,50,0,12,1,36,23,0,12,1,35,1,55,19,16,18,1
13,CLUJ,"CASA PROPRIETATE PARTICULARĂ",498,IARA,58008,2,PART,PRCNCT,P,P_SV,"2024-06-10 02:10:01",126,118,0,8,0,72,64,0,8,0,69,3,131,59,49,16,4
13,CLUJ,"CASA PROPRIETATE PARTICULARĂ",501,IARA,58008,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:12:47",37,29,0,8,0,20,12,0,8,0,18,2,32,12,12,6,0
13,CLUJ,"CASA PROPRIETATE PARTICULARĂ",503,IARA,58008,1,PART,PRCNCT,P,P_SV,"2024-06-09 23:51:00",26,17,0,9,0,17,8,0,9,0,17,0,34,17,12,5,0
13,CLUJ,SCOALA,502,IARA,58008,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:45:37",124,110,0,13,1,74,60,0,13,1,72,2,124,50,50,22,0
13,CLUJ,SCOALA,506,IARA,58008,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:27:51",45,35,0,8,2,37,27,0,8,2,35,2,43,6,17,17,1
13,CLUJ,SCOALA,496,IARA,58008,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:41:17",296,290,0,6,0,180,174,0,6,0,170,10,323,143,87,81,2
13,CLUJ,SCOALA,504,IARA,58008,2,PART,PRCNCT,P,P_SV,"2024-06-10 01:14:06",102,87,1,12,2,66,52,0,12,2,65,1,101,35,53,10,2
13,CLUJ,SCOALA,505,IARA,58008,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:17:46",247,235,0,11,1,156,144,0,11,1,151,5,266,110,117,30,4
13,CLUJ,SCOALA,499,IARA,58008,2,PART,PRCNCT,P,P_SV,"2024-06-10 07:10:21",323,297,0,19,7,236,210,0,19,7,227,9,331,95,155,70,2
13,CLUJ,SCOALA,500,IARA,58008,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:30:26",230,222,0,6,2,150,142,0,6,2,142,8,257,107,95,44,3
13,CLUJ,"SCOALA GIMNAZIALA CU CLASELE I-IV IARA",495,IARA,58008,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:27:01",818,803,1,13,1,439,424,1,13,1,426,13,905,466,291,127,8
13,CLUJ,"ȘCOALA GIMNAZIALA CU CLASELE I-IV IARA",494,IARA,58008,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:01:04",714,705,0,7,2,386,377,0,7,2,375,11,785,399,252,116,7
