precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ALIANŢA PENTRU REFORMĂ ECHITATE SOCIALĂ EMANCIPARE ŞI LIBERTATE-voturi"
27,MEHEDINŢI,"GRĂDINIŢA 2",81,"ORAŞ STREHAIA",110116,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 10:52:35",1488,1454,0,24,10,836,802,0,24,10,759,43,1604,802,460,213,42,41,3
27,MEHEDINŢI,"GRĂDINIŢA VEST STREHAIA",83,"ORAŞ STREHAIA",110116,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 11:30:34",1408,1345,3,19,41,865,805,0,19,41,834,31,1494,629,532,236,24,40,2
27,MEHEDINŢI,"LICEUL TEHNOLOGIC MATEI BASARAB",80,"ORAŞ STREHAIA",110116,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 10:45:58",1718,1686,0,31,1,1009,977,0,31,1,933,71,1854,850,633,219,28,32,21
27,MEHEDINŢI,"ŞCOALA GENERALĂ CIOCHIUŢA",84,"ORAŞ STREHAIA",110116,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:13:53",749,727,3,10,9,490,470,1,10,9,476,14,803,313,293,155,18,9,1
27,MEHEDINŢI,"ŞCOALA GENERALĂ COMANDA",85,"ORAŞ STREHAIA",110116,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:35:44",1262,1240,1,15,6,682,661,0,15,6,642,37,1368,689,368,207,51,13,3
27,MEHEDINŢI,"ŞCOALA GENERALĂ HURDUCEŞTI",86,"ORAŞ STREHAIA",110116,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 02:42:54",214,199,0,10,5,161,146,0,10,5,157,4,218,57,98,49,3,7,0
27,MEHEDINŢI,"ŞCOALA GENERALĂ LUNCA BANULUI",87,"ORAŞ STREHAIA",110116,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:25:45",370,361,0,9,0,229,220,0,9,0,224,5,399,170,76,70,7,71,0
27,MEHEDINŢI,"ŞCOALA GENERALĂ SLĂTINICUL MARE",88,"ORAŞ STREHAIA",110116,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:02:07",268,250,0,16,2,189,171,0,16,2,186,3,278,89,143,27,13,2,1
27,MEHEDINŢI,"ŞCOALA GENERALĂ STĂNCEŞTI",89,"ORAŞ STREHAIA",110116,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 00:23:55",151,140,0,10,1,88,77,0,10,1,88,0,162,74,49,28,2,9,0
27,MEHEDINŢI,"ŞCOALA GENERALĂ STREHAIA",82,"ORAŞ STREHAIA",110116,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:06:16",1366,1335,1,23,7,767,737,0,23,7,723,44,1466,699,436,206,39,40,2
